remove,free,email,you,charExclamation,capitalAve,capitalTotal,type
0,0.32,1.29,1.93,0.778,3.756,278,spam
0.21,0.14,0.28,3.47,0.372,5.114,1028,spam
0.19,0.06,1.03,1.36,0.276,9.821,2259,spam
0.31,0.31,0,3.18,0.137,3.537,191,spam
0.31,0.31,0,3.18,0.135,3.537,191,spam
0,0,0,0,0,3,54,spam
0,0.96,0.32,3.85,0.164,1.671,112,spam
0,0,0,0,0,2.45,49,spam
0.3,0,0.15,1.23,0.181,9.744,1257,spam
0.38,0,0.12,1.67,0.244,1.729,749,spam
0.96,0,0.96,3.84,0.462,1.312,21,spam
0.25,0,0,1.16,0.663,1.243,184,spam
0,0.34,1.39,2.09,0.786,3.728,261,spam
0.9,0,0,2.72,0,2.083,25,spam
0,5.35,0,3.21,0.357,1.971,205,spam
0.42,1.27,0,1.7,0.572,5.659,249,spam
0,0,0,1.88,0.428,4.652,107,spam
0,0,0,0,1.975,35.461,461,spam
0.18,0,0.37,3.15,0.455,1.32,70,spam
0,0.63,3.18,2.22,0.055,3.509,186,spam
0,0,0,0,0.729,3.833,23,spam
0.15,0,0.13,2.09,0.25,2.569,2259,spam
0,2.94,0,0,0.809,4.857,34,spam
0,1.16,1.16,1.16,0.667,1.131,69,spam
0,0,0,0,0.392,5.466,82,spam
0.15,0,0.13,2.09,0.25,2.565,2258,spam
0,0,0,0,0.392,5.466,82,spam
1.66,0,0,3.33,0.368,2.611,47,spam
0,3.33,0,0,0.352,4,36,spam
0.65,0.65,0,1.3,0.091,2.687,129,spam
0,0,0,3.52,0.886,1.966,59,spam
0,3.03,0,0,2.112,3.909,43,spam
0,0.27,0,3.51,0,1.39,89,spam
0,0,4.83,4.83,0,1.7,17,spam
0,0,0,2.04,0,3.826,264,spam
0,0,0,5.12,1.543,2.777,25,spam
0,2.94,0,0,0.873,4.142,29,spam
0.48,0.48,0,2.43,0.488,5.431,239,spam
0,0.48,0.97,1.46,0.963,3.1,186,spam
0,0.41,0.83,2.08,0.75,3.851,285,spam
0,0,0.3,2.76,0.207,2.132,226,spam
0,2.94,0,0,0.671,4,28,spam
0,2.94,0,0,0.711,4,28,spam
0.18,0,0.37,3.15,0.426,1.283,68,spam
0.26,0.26,0.26,1.82,0.813,2.145,339,spam
0,0,0,4.07,1.318,5.301,774,spam
0.06,0,0.06,4.54,0.01,1.733,442,spam
0,4.97,0,3.48,0.17,1.468,94,spam
0.05,0.25,0.02,3.22,0.325,5.891,3040,spam
0.06,0.26,0.26,3.51,0.278,3.887,898,spam
0,0,0,1.92,0,2.75,33,spam
0.73,1.09,0.36,2.19,0.498,3.254,179,spam
0.38,0,0.12,1.67,0.244,1.732,750,spam
0,0,0,0,0.198,3.833,69,spam
0.73,1.1,0.36,2.2,0.5,3.259,176,spam
0,1.08,0,1.08,1.478,2,106,spam
1.04,0,0,3.66,0.615,3.318,146,spam
0,0,0,2.53,0,3.642,51,spam
0,0.45,0.91,1.36,1.501,2.777,200,spam
0,0.42,0.84,2.1,0.669,3.837,284,spam
0.59,0,1.18,1.77,0,8.586,249,spam
0,0.23,0,7.1,0.175,1.294,66,spam
0.93,1.39,0.46,0.93,0,1.442,75,spam
0.68,0.34,1.36,3.42,0.048,1.411,96,spam
0,0,0,4.1,0.019,1.714,180,spam
0,1.98,0,1.32,2.205,3.184,121,spam
0.48,0.48,0,0.97,0.589,4.85,194,spam
1.47,0,0,5.88,0.5,1.214,17,spam
0,2.15,0,5.53,1.053,3.884,303,spam
0,0,0,0,0,4.548,141,spam
2.53,0,0,2.53,0.537,72.5,290,spam
0,0.53,1.06,1.6,0.877,3.4,187,spam
0,0.44,0.89,2.24,0.807,3.849,281,spam
0.46,0.92,0.92,2.76,0.298,2.156,110,spam
0.48,0.48,0,2.41,0.486,5.13,236,spam
0,2.83,0,0.94,1.366,26.5,318,spam
0,0,0.59,4.14,0.165,2.325,100,spam
0,0.37,0.12,2.96,0.437,3.675,1066,spam
0.2,0.83,0,2.09,0.132,1.65,175,spam
0,0,5.26,5.26,0,1.666,10,spam
0,0,0,5.55,1.431,4.071,114,spam
0.23,0.23,0,2.38,0.197,5.038,519,spam
0,2.91,0.72,1.45,0.495,1.525,61,spam
0,1.28,0,2.56,0.724,3.071,43,spam
0,0,0,0,0.834,5.13,118,spam
0.46,1.86,0,0.93,0.571,4.63,213,spam
0,0.38,0.38,2.69,0.061,1.775,158,spam
0,0.79,1.58,3.96,0.268,2.815,107,spam
0,0.2,0,1.14,0.096,3.353,845,spam
0,0,0,0,0,3.8,38,spam
1.12,0.56,0,3.93,1.083,4.974,194,spam
0.05,0.26,0,3.25,0.322,6.1,3038,spam
0.03,0.22,0.07,3.43,0.613,7.3,2453,spam
0.03,0.22,0.07,3.43,0.612,7.3,2453,spam
0,0,0.46,2.77,0.082,3.4,102,spam
0.46,0,1.4,1.87,0,2.676,91,spam
0,1.05,0.7,2.11,1.284,3.639,313,spam
0,0.43,0.86,1.29,0.736,2.81,222,spam
0,0.6,0,1.21,0.31,4.897,191,spam
0,0.41,0.82,3.73,0.461,3.166,114,spam
0.7,2.83,0,4.96,0.38,1.153,30,spam
0,0.64,0,2.59,0.662,10.068,292,spam
0,0,0,0,1.529,5.5,66,spam
0,0.64,0,2.59,0.662,10.068,292,spam
0,0,0,0,1.529,5.5,66,spam
0,0.64,0,2.59,0.662,10.068,292,spam
0,0,0,0,1.529,5.5,66,spam
0,0.79,0,1.58,0.462,5.793,168,spam
0,0,0,0,1.529,5.5,66,spam
1.96,0,0,3.92,0,6.166,74,spam
2.46,2.46,0,0,1.907,1.285,36,spam
0,0,0,2.38,0,2.913,67,spam
0.76,0,0.76,1.52,0,3.836,211,spam
0,0,0.47,0.95,0,1.238,78,spam
0.12,0.25,0,2.9,0,4.155,507,spam
0,0.51,0,1.53,0.542,1.972,146,spam
0,0,0.5,1.55,0.054,2.37,588,spam
0,0,0.5,1.55,0.054,2.379,583,spam
2.56,0,0,2.56,0.542,102.666,308,spam
1.11,0.55,0,3.91,1.158,4.875,195,spam
0,0,0.5,1.55,0.054,2.37,588,spam
0,0,0.5,1.55,0.054,2.379,583,spam
0,0.23,0,3.08,0.335,7.202,2413,spam
0.16,0.16,0.8,0.16,0.271,5.709,982,spam
0.3,0,0,0.3,0.092,2.074,278,spam
0.33,0,0.33,2.18,1.194,5.567,657,spam
0,0,0,4.04,0.089,3.416,164,spam
0.59,0,0.59,4.76,0.427,10,170,spam
0.4,0,0.4,4,0.706,1.838,114,spam
0,0.41,0,7.05,0.97,32.142,450,spam
0.38,0.38,0,3.04,0.598,4.523,285,spam
0.4,0.4,0,4,0.121,1.979,95,spam
0,0.56,0,2.25,0.606,2.36,144,spam
0.16,0,0.16,1.6,0.299,1.891,174,spam
0,0,0,0,0.215,4,76,spam
0,0.98,0.39,0.59,0.16,2.128,730,spam
0,0.98,0.39,0.59,0.16,2.128,730,spam
0,0.66,0,2.33,0.12,5.428,304,spam
0,2.98,1.49,0,0,1.1,11,spam
0,0.82,0,1.65,0,1.769,69,spam
0,0.66,0,2.33,0.12,5.428,304,spam
1.58,0,0,1.58,0.558,3.272,36,spam
0,0.23,0,3.08,0.335,7.202,2413,spam
1.58,0,0,1.58,0.558,3.272,36,spam
0,2.77,4.16,4.16,0.715,1.181,13,spam
0,0,0,0,0.215,4.277,77,spam
0,0.66,0,2.33,0.12,5.428,304,spam
0.14,0.14,0.72,0.58,0.865,5.133,1001,spam
0,0,0,0.72,0.063,2.562,123,spam
0,0.81,0.27,2.17,0.565,1.617,131,spam
0,0,0.78,3.13,0.261,1.461,114,spam
1.12,0.56,0,3.95,1.32,5.135,190,spam
0,0,0.67,4.05,0.2,1.064,33,spam
0,0.62,0,1.24,1.055,2.033,120,spam
0,0.33,0,2.02,0.484,1.796,203,spam
0,4.76,0,4.76,0,2.375,38,spam
1.31,0,0,1.31,0.117,48.5,291,spam
0.45,0.45,0.45,1.81,0.135,5.571,117,spam
0,0,0,0.85,1.088,5.714,200,spam
0,0,0,0.27,0,7.313,607,spam
0,0.43,0.21,0.21,0.146,6.233,642,spam
0,0,0.46,2.77,0.081,3.4,102,spam
0,0.87,0.43,3.66,0.265,3.121,437,spam
0.34,0.68,1.37,1.03,0,3.131,119,spam
0,0,0.46,2.77,0.081,3.4,102,spam
0.62,0,1.24,5.59,0.517,3.363,111,spam
1.05,0,0,0,0,4.5,108,spam
0,0.35,1.42,1.77,0.7,3.768,260,spam
0.15,0.15,0.76,0.15,0.567,5.425,944,spam
0.57,0,0.57,4.62,0.518,10.117,172,spam
0.26,0.79,0,1.32,0.31,5.549,566,spam
0.08,0,0.08,1.2,0.095,4.07,574,spam
0,0.5,0,2.5,0.892,2,172,spam
0,0.54,0,1.64,1.443,1.969,130,spam
0,0,0,3.12,0.889,2.13,49,spam
0,0,0,4.08,0.968,2.179,85,spam
0,0,0,0,0,1.1,11,spam
0,0.44,0,4.03,0.944,2.451,152,spam
0,0.33,1.32,2.64,0.583,4.024,326,spam
0,0,0,4.08,0.969,2.179,85,spam
0.08,0.08,0,3.01,0.258,5.297,694,spam
0.08,0.08,0,3.03,0.259,3.335,537,spam
0,0,0,0.87,0.835,5.114,179,spam
0,0.44,0,4.46,1.083,2.428,153,spam
0,0,0,2.53,0.118,1.307,68,spam
0,0,0,0,1.754,1,7,spam
0,0.05,0.53,1.19,0.032,1.364,303,spam
3.12,3.12,0,6.25,0,9.428,66,spam
0,1.59,0.53,6.91,0.28,2.823,240,spam
0.93,0.46,0,1.87,0.135,4,96,spam
1.12,2.25,1.12,2.25,0,1.416,51,spam
0,0,0,5.29,0.83,3.215,164,spam
0,1.61,0.8,0.8,1.192,1.463,101,spam
0.14,0.14,0.72,0.43,0.585,5.02,979,spam
0.08,0,0.08,1.2,0.095,4.07,574,spam
0,0,0,1.63,0.294,2.333,63,spam
1.08,0.54,0,4.32,1.18,5.323,181,spam
0.08,0,0.08,1.2,0.108,4.07,574,spam
1.07,0.53,0,4.3,1.183,5.454,180,spam
0.51,2.07,2.07,1.03,0.067,2.676,91,spam
1.09,0.54,0,3.84,1.045,5.047,212,spam
0,0.38,0,2.7,0.985,3.923,255,spam
0,0.39,0,2.73,0.869,4,256,spam
0.86,0,0.43,1.29,0.915,3.891,144,spam
0,0,1.83,1.83,0.187,3.184,363,spam
0,0.56,0,2.25,0.615,2.403,137,spam
0,0.55,0,1.67,0.893,2.122,121,spam
0,0,0,5.26,0.816,3.173,165,spam
0.61,0,1.85,2.46,0.353,2.25,81,spam
0.44,0.44,0.44,3.33,0.563,86.65,1733,spam
0.08,0.08,0,3,0.287,3.314,537,spam
1.04,2.08,0,2.08,0,3.812,61,spam
1.33,0,0,1.33,0.202,29.125,233,spam
1.08,0.54,0,4.32,1.182,5.454,180,spam
0,0,0,3.12,0.08,2.111,57,spam
0,0.9,1.81,3.63,0.165,6.266,94,spam
0,0.05,0,0.05,0,1.423,965,spam
0,0.05,0,0.05,0,1.423,965,spam
0.53,0.62,1.43,2.5,0.212,6.815,1329,spam
0,0.96,0,1.44,0.468,3.315,242,spam
0,0,0.46,2.77,0.081,3.4,102,spam
0.68,0.68,0,5.86,0.366,1.895,91,spam
0,0.72,0.18,2.7,0.633,9.043,841,spam
0.39,1.57,0.26,2.61,0.779,2.689,476,spam
0.32,0.32,0,2.28,0,1.537,143,spam
0.32,0.32,0,2.27,0,1.537,143,spam
0,0.59,1.37,4.52,0.258,3.112,305,spam
0,0,1.84,1.84,0.188,3.105,354,spam
0,0.71,0,1.42,1.094,2.021,95,spam
2.98,1.49,0,0,0,13,156,spam
0.16,0.5,1.5,0.66,0.884,5.328,1087,spam
0,0.55,0,2.2,0.683,2.338,145,spam
0.16,0.16,0.81,0.32,0.773,6.586,955,spam
0,0,0,0.72,0,1.543,88,spam
1.69,10.16,0,0.84,1.113,173,519,spam
0,0,0,1.29,0,1.103,32,spam
0,0,0,1.29,0,1.103,32,spam
0.08,0,0.08,1.2,0.088,4.16,1140,spam
2.18,0,0.54,3.27,0.471,15.08,377,spam
0,0.85,0.85,4.7,0,7.17,294,spam
0,1.05,0,0,1.806,1.293,75,spam
0,0.22,0,1.35,0.129,7.258,617,spam
2.23,0,0.55,3.35,0.479,16.739,385,spam
0,0,0,4.49,0.814,2.6,39,spam
0.32,0.32,0,2.28,0,1.494,139,spam
0,0,2.87,1.43,0.937,11.888,214,spam
2.23,0,0.55,3.35,0.479,16.739,385,spam
1.07,2.15,0,0,0.145,1.823,62,spam
0,0.95,0,1.42,0.461,3.493,255,spam
0.15,1.11,1.27,0.79,0.862,5.423,1128,spam
0,0,0,0.39,0,2.5,130,spam
0,0,0,2.3,2.766,5.607,157,spam
0.08,0.48,0.08,3.5,0.39,5.594,1561,spam
0,1.11,0.06,2.37,0.75,3.401,966,spam
0,1.11,0.06,2.23,0.75,3.401,966,spam
0,4,0,0,2.453,4.153,54,spam
0,0,2.85,1.42,0.931,12.055,217,spam
0,0.8,0,1.6,1.62,2.604,125,spam
0.33,0.33,0,1.98,0,2.195,202,spam
0.07,0,0.44,3.55,0.159,3.456,802,spam
0.33,0.33,0,1.98,0,2.195,202,spam
0.15,1.11,1.27,0.79,0.862,5.423,1128,spam
0,0.31,0,2.48,0.043,1.741,155,spam
0.17,0.17,0.86,0.17,0.665,6.294,963,spam
0,0.79,1.58,3.17,0.271,3.257,114,spam
0,0.14,0.14,2.35,0.204,2.962,400,spam
0,0,0,2.22,0.784,5.687,91,spam
0,0.25,0,2.5,0.203,2.866,129,spam
1.16,0.58,0.58,2.92,0.09,1.829,75,spam
0,0.14,0.14,2.35,0.204,2.962,400,spam
0,0.14,0.14,2.35,0.204,2.962,400,spam
0.58,0.58,0,1.76,0.829,2.529,86,spam
0,0,0,3.29,0.041,3.181,210,spam
3.12,0,0,6.25,0,9.428,66,spam
2.28,0,0.57,3.42,0.487,16.217,373,spam
0.17,0,0.7,0.88,0.085,3.564,417,spam
0,0.95,0,1.42,0.401,3.459,256,spam
2.28,0,0.57,3.42,0.487,16.217,373,spam
0.17,0.17,0.86,0.34,0.315,6.364,942,spam
2.28,0,0.57,3.42,0.487,16.217,373,spam
3.27,1.63,0,0,0.54,14.818,163,spam
0.14,0.87,1.46,0.58,0.764,4.979,1200,spam
0.19,0.19,0.95,0.19,0.632,6.789,869,spam
0.2,0.4,0.4,2.21,1.453,3.946,513,spam
0,0,0,0.91,0.531,2.9,87,spam
0.15,0.92,1.53,0.61,0.732,5.058,1128,spam
0,0.52,0,1.56,0.867,2.22,131,spam
0,0.42,0,2.14,1.117,1.206,117,spam
0.06,0,0.06,4.48,0.01,1.733,442,spam
0.2,0.1,0.31,2.4,0.785,4.064,817,spam
5.4,5.4,0.9,1.8,0.841,24.785,347,spam
0.17,0,0,1.97,1.158,5.163,599,spam
0.08,0.51,0.08,3.43,0.348,5.392,1456,spam
0.23,0,0.69,2.76,0.841,1.862,285,spam
0,0,0,0.32,0,1.206,240,spam
0,1.05,0,3.7,0.702,6.487,266,spam
0.32,0.32,0,2.27,0,1.494,139,spam
0,0.54,0,2.17,0.715,2.345,129,spam
0,1.63,0,3.27,0.759,2,36,spam
0,0,0,2.45,0.242,2.623,244,spam
0.35,0.7,0,5.3,0.411,2.917,213,spam
2.41,0,3.44,4.13,0,1.888,68,spam
0,0,0,2.45,0.295,2.542,239,spam
0.64,0.64,0,1.28,0.551,2.333,119,spam
0.32,0.32,0,2.28,0,1.494,139,spam
0.64,0.64,0,1.28,0.554,2.333,119,spam
0,0.18,0,0.94,0.07,2.616,191,spam
0,0,0,0.91,0.532,2.9,87,spam
0,0,0,0,0.309,1.333,56,spam
0.43,0.43,0.43,1.72,0.129,5.8,116,spam
0,0.43,0,2.17,1.133,1.2,114,spam
0,0.34,1.37,1.72,0.718,3.718,264,spam
0.16,1.64,0.65,0.82,0.906,5.289,1116,spam
0.06,0,0.06,4.49,0.01,1.74,442,spam
0.11,0.46,0.34,0.58,0.322,2.576,389,spam
0,0,0,2.46,1.284,1.357,19,spam
0.91,0,0,0,0.672,4.35,87,spam
0,0,0,1.31,0,4.818,53,spam
0,0,0,2.44,0.268,2.698,251,spam
0,0,0,2.45,0.241,2.623,244,spam
0.32,0.32,0,2.28,0,1.494,139,spam
0,0,0,0,0.511,4.617,217,spam
0,0.31,1.24,2.49,1.152,4.592,349,spam
0,0,0,0,0,1.266,19,spam
0,0,0,0,0.511,4.617,217,spam
0,0,0,0,0,1.266,19,spam
0.17,1.74,0.69,1.04,0.754,4.74,967,spam
1,0,3,2,0.275,2.538,33,spam
0,1.05,0,3.15,0.351,3.343,107,spam
0.16,2.13,0.65,0.98,0.693,4.835,1030,spam
0,0,0,3.07,1.434,7.055,127,spam
0,0,0,1.31,0,4.5,54,spam
0,1.28,0,3.84,0.23,5.538,72,spam
0.94,0,0,0.94,0.217,1.48,77,spam
0,0,0,2.81,0.209,2.776,211,spam
0,0.36,0,1.09,0.604,3.787,356,spam
0,1.29,0,1.93,0.462,2.44,122,spam
0,0.43,1.73,0.43,0.31,1.477,65,spam
0,1.28,0,3.84,0.23,5.538,72,spam
0.6,0,1.21,1.82,0,1.583,38,spam
0.32,0.32,0,2.28,0,1.494,139,spam
0,0,0,1.29,0,4.23,55,spam
0,1.28,0,3.84,0.23,5.538,72,spam
0.63,0.63,0,1.27,0.501,2.458,118,spam
0,1.3,0,1.96,0.834,2.44,122,spam
0,0,0,0.19,0,1021.5,2043,spam
0,0.43,1.73,0.43,0.31,1.477,65,spam
0,0.08,0,0.4,0.406,2.811,1254,spam
0,1.29,0,1.93,0.462,2.44,122,spam
0,0.43,1.73,0.43,0.31,1.477,65,spam
0,0.36,0,1.09,0.604,3.787,356,spam
0,0,0,0,0,2.217,51,spam
0,1.28,0,3.84,0.23,5.538,72,spam
0.32,0.32,0,2.28,0,1.494,139,spam
0.06,0,0.06,4.49,0.01,1.736,441,spam
0,0,0,1.31,0,4.5,54,spam
0.45,0,0.45,0.91,0.063,4.735,161,spam
1.16,4.65,0,3.48,0,1,21,spam
1.25,6.25,0,3.75,0,1,19,spam
0,0.05,0.38,0.07,0.107,3.922,3271,spam
0,0,0,0,5,1,2,spam
0,0.48,0,4.36,2.443,1.227,81,spam
0,0.23,0,3.81,1.018,4.022,543,spam
0.32,0.32,0,2.28,0,1.494,139,spam
0,0,0,0,0,1,6,spam
0,0.23,0,3.81,1.018,4.022,543,spam
1,0,0,5,0.11,3.178,89,spam
0.05,0.76,0.11,1.53,0.102,1.493,660,spam
0.32,0.32,0,2.27,0,1.494,139,spam
0,0,0.67,0.67,0.332,2.315,132,spam
0,0.05,0.38,0.07,0.107,3.922,3271,spam
0,0,0.67,0.67,0.802,2.527,139,spam
0,0.2,0,0.2,0.831,1102.5,2205,spam
0,0.61,0.61,1.22,0.517,2.966,178,spam
1.48,0.74,0,2.22,0.108,2.346,61,spam
0,0,0,0,0.153,3.317,136,spam
0,0.23,0,3.12,0.319,6.11,2218,spam
0.35,0.7,0.35,4.25,0.397,3.388,183,spam
0,2.43,0,3.65,0,1,31,spam
0,0,0,1.31,0,4.818,53,spam
0,0.6,0,4.44,0.101,3.548,479,spam
0,0,0,4.46,0,1.541,37,spam
0.25,0.25,0.94,1.62,0.42,7.497,1402,spam
0,0.46,0,2.8,0.663,1.428,120,spam
0.14,0.86,0.57,0.57,0.826,5.456,1315,spam
0,0,0,4.4,0.01,1.748,444,spam
0,0,0,4.4,0.01,1.775,451,spam
0,0.38,0.06,2.98,0.429,3.664,1059,spam
0.08,0.53,0,3.58,0.369,4.911,1277,spam
0,0.08,1.1,1.86,0.356,11.32,1834,spam
0.48,0,0,3.36,0.163,1.696,95,spam
0,0,0,0,0,3.8,19,spam
0,0,0.59,2.97,0.105,3.428,72,spam
0.6,0,0.6,3.65,0.101,3.217,74,spam
0,0.38,0.06,2.98,0.428,3.702,1070,spam
0,0,0,0,0.163,3.545,78,spam
0.33,1.65,1.65,2.64,0.537,2.517,141,spam
0.67,0,0,3.37,0.286,5.558,189,spam
0,0,0,3.49,0.23,4.281,655,spam
0,0.31,0,2.79,0,2.09,115,spam
0.96,0,0,2.88,0.616,1.181,13,spam
0.7,0.7,0.35,5.96,0.367,1.88,94,spam
0,0.55,0,3.31,0.524,1.229,75,spam
0,0,0.58,1.75,0,1.361,113,spam
0,0,0,0.89,0.52,3.5,105,spam
0.08,0.53,0,3.58,0.369,4.896,1278,spam
0,1.74,0,1.16,0.165,2.17,102,spam
0,0.37,0,0.43,0.034,4.93,3550,spam
0,0,0.42,0.42,2.636,3.168,301,spam
0.25,0.25,0.76,2.29,0.354,2.593,153,spam
0.25,0.25,0.93,1.61,0.394,7.484,1407,spam
0.12,0.12,0.6,0.36,0.34,5.634,1234,spam
0,0.43,0,2.62,0.577,6.274,320,spam
0,0,0.14,2.35,0.153,2.705,368,spam
0.14,0,0,2.89,0.269,15.086,1222,spam
0.62,0.62,0,1.25,0.456,2.52,121,spam
0.33,0,0.33,2.02,1.118,4.928,621,spam
0.14,0,0,2.86,0.241,6.238,1229,spam
0,0,0,2.56,0.255,6.3,1216,spam
0,0.21,0.03,3.03,0.443,6.59,2333,spam
0,0.68,0.68,1.36,1.143,3.737,228,spam
0,0.55,0,1.76,0.367,2.559,389,spam
0.49,0.49,0,2.47,0.497,5.113,225,spam
0,0.94,0,4.71,3.571,1.3,52,spam
0.02,0.16,0.02,3.23,0.382,5.783,3210,spam
0,0.55,0,1.76,0.367,2.559,389,spam
1.56,1.56,0,0,0.7,2.125,34,spam
2.22,3.33,0,3.33,0.146,2.058,35,spam
0.86,2.16,1.29,3.46,0.801,4.77,353,spam
0,1.36,0,2.28,0,2.032,126,spam
0.5,0,1.52,2.03,0.412,2.441,249,spam
0,1.44,0,5.79,0.277,1.312,21,spam
0.5,0,1.52,2.03,0.412,2.441,249,spam
0,0.35,1.43,1.79,1.257,3.895,261,spam
0,0,0,5.88,0,1.5,9,spam
0,0.6,0,4.44,0.101,3.577,483,spam
0,0,0,0.88,0.935,3.417,229,spam
0.12,0.12,0.6,2.41,0.056,1.246,389,spam
0,0,0,1.31,1.007,1.44,36,spam
0,0,0,1.2,0.421,3.454,38,spam
0,0,0,0,0.19,3.6,72,spam
0,0,0,1.92,1.336,1.21,23,spam
0,0.09,0.39,3.19,0.334,15.493,2541,spam
0,0,0,0,0,2.411,41,spam
0.13,0,0.41,0.69,0,1.531,144,spam
0,0.31,1.25,2.51,0.777,3.39,278,spam
0.26,0.26,0,0,0.369,13.82,1078,spam
0,0.56,0,1.79,0.373,2.576,389,spam
0,0.24,0,2.33,0.041,2.351,254,spam
0,0.24,0,2.33,0.041,2.351,254,spam
0.31,0.94,0,0.31,0.89,12.382,421,spam
0,0,0,1.54,0.8,3.125,100,spam
0,0,0.96,2.88,0.084,3.2,80,spam
0,6.45,0,3.22,0,1,2,spam
0,1.34,0,2.24,0,2.25,144,spam
0.35,0.35,0.17,0.53,0.057,1.974,229,spam
