remove,free,email,you,charExclamation,capitalAve,capitalTotal,type
0,1.72,0.86,0.86,0.251,2.022,91,spam
0,0,0,0,0.186,4,84,spam
0.42,0,0,0.84,0.187,7.951,493,spam
0.45,0,0,0.9,0.203,8.517,477,spam
1,0,0,3.01,0.176,4.476,94,spam
0,0,0,4.44,1.385,20,180,spam
0,1.25,0,5,0,1.2,36,spam
0,0,0,0,0,3.6,72,spam
0,0,0,0,0.486,2.681,59,spam
0,0,0,4.53,0.141,11.288,1016,spam
0,0,0,3.8,0,3.78,189,spam
0.09,0,0.09,3.69,0.341,7.273,1171,spam
0,0,0,3.22,0.546,2.3,23,spam
0,0,0,4.34,2.631,1.666,15,spam
0,0,0,4.34,5.844,1.666,15,spam
0,0,0,3.33,1.081,2.3,23,spam
0,2.59,0,3.24,0.574,5.833,105,spam
0,0,0,0.93,0.536,2.166,65,spam
0.64,0.32,0.32,2.27,0,1.688,157,spam
0,0,0,0,0.191,3.95,79,spam
0,0,0,3.7,3.448,2.666,24,spam
0,0,0,0,0.191,3.95,79,spam
0,0,0,0,0,1.864,910,spam
0,0,0.44,1.32,0.291,1.348,58,spam
0.2,0.61,0,2.89,0.816,3.716,301,spam
0,0,0,0,4.347,1,2,spam
0.1,0,0,0,0.016,1.901,329,spam
0,1.14,0.16,3.6,0.902,5.833,595,spam
0.09,0.87,0,1.66,0.318,6.813,1458,spam
0,0,0,0,0.396,3.714,26,spam
0.1,0.91,0,1.72,0.297,6.8,1428,spam
0,0,0,5.18,1.096,5.16,289,spam
0.25,0.25,0.93,1.61,0.394,7.484,1407,spam
0,0,0.51,1.79,0.26,3.298,287,spam
1.05,0,0,3.15,0.171,2.05,41,spam
0.1,1.94,0.4,1.94,0.518,8.181,1890,spam
0.1,0.91,0,1.72,0.297,6.8,1428,spam
0.44,0,0,0.88,0.19,8.033,474,spam
0.1,0.1,0.2,3.43,0.611,3.794,702,spam
0,0,0,0,0.422,4.066,61,spam
0,0,0,4,0,2.363,26,spam
0,2.5,0,5.32,0.111,1.672,92,spam
0.11,0.05,0.29,3.93,0.492,6.033,1460,spam
0,0.21,0.03,2.99,0.478,6.518,2340,spam
0,0,0,0,0.022,3.482,5902,nonspam
0,0,0,2.56,0.149,1.04,26,nonspam
0,0,0,0,0,1,3,nonspam
0,0,0,0,0.262,1.625,65,nonspam
0,0,0,0,0,4.411,1866,nonspam
0,0,0,0,0,2.5,35,nonspam
0,0,0,0,0,3.571,150,nonspam
0,0,0,0,0,1,1,nonspam
0,0,0,7.31,0.393,1.75,28,nonspam
0,0,0,4,0.729,2.285,16,nonspam
0,0,0,0.24,0.149,10.012,791,nonspam
0,0,0,3.6,0,2.766,83,nonspam
0,0,0,0,0,2,26,nonspam
0,0,0,0,0,2.324,709,nonspam
0,0,0,1.85,0,1.8,27,nonspam
0,0,0,0,0,2.38,50,nonspam
0,0,0,0,0.546,2,16,nonspam
0,0,0,0.8,0.115,3.388,122,nonspam
0,0,0,1.51,0,1.75,28,nonspam
0,2.32,0,2.32,0.375,1.444,13,nonspam
0,0,0.63,3.18,0,2.215,113,nonspam
0,0,0.58,0.58,0.282,1.932,114,nonspam
0,0.24,0,0.78,0.044,1.873,843,nonspam
0,0,0,1.88,0,1,12,nonspam
0,0,0,0,0,2.647,45,nonspam
0,0,0,0,0,1.142,8,nonspam
0,0,0,0,0,1.909,21,nonspam
0,0,0,0,1.315,1,7,nonspam
0,0,0,0,0,2.322,72,nonspam
0,0,1.44,0,0.313,1.689,49,nonspam
0,0,0,0,0,1.538,20,nonspam
0,0,0,3.29,0,1.745,89,nonspam
0,0,0,3.75,0,1.437,23,nonspam
0,0,0.39,3.18,0,2.51,123,nonspam
0.04,0.08,0,0.77,0.033,2.747,1995,nonspam
0,0,0,0,0,3.125,25,nonspam
0,0,0,0,0,2.848,433,nonspam
0,0,0,1.58,0,1.538,20,nonspam
0,0,0,0.21,0.161,2.813,723,nonspam
0,0,0,0,0.684,2,16,nonspam
0,0,0,1.21,0.211,1,11,nonspam
0,0,0,0.47,0.068,3.195,147,nonspam
0,0,0,2.56,0,1.952,41,nonspam
0,0,0,0,0.072,2.847,242,nonspam
0,0,0,0.26,0.045,1.837,158,nonspam
0,0,0,2.75,0.301,1.942,68,nonspam
0,0,0,0,0,5.5,11,nonspam
0,0,0,0,0,1.571,11,nonspam
0,0,0,4,0.613,1,14,nonspam
0,0,0,4.34,3.048,1,8,nonspam
0,0,0,0,0,2.195,90,nonspam
0,0,0,2.63,0,1.235,21,nonspam
0,0,0,1.56,0.725,1.187,19,nonspam
0,0,0,0.45,0,3.407,535,nonspam
0,0,0,1.35,0.048,2.326,107,nonspam
0,0,0.02,0.08,0,2.838,2078,nonspam
0,0,0,0.51,0.08,1.885,66,nonspam
0,0,0,0,0.061,1.392,71,nonspam
0.2,0,0,0,0,2.214,423,nonspam
0,0,0,0.23,0.117,2.616,683,nonspam
0,0,0,0,0.123,2.063,130,nonspam
0,0,0,4,0,2,10,nonspam
0,0,0,0,0,4.771,1064,nonspam
0,0,0,0,0.091,1.212,40,nonspam
0,0,0,1.51,0,1.114,39,nonspam
0,0,3.57,0,0.24,1.687,27,nonspam
0,0,0,0.3,0,1.426,97,nonspam
0,0,2.77,0,0.218,1.687,27,nonspam
0,0,0,0,0,1.6,24,nonspam
0,0,0,0,0,2.888,26,nonspam
0,0,0,0.74,0.31,2.034,59,nonspam
0,0,0,0,0,2.924,617,nonspam
0,0,0,0,0,3.937,693,nonspam
0,0,0,0.76,0,1.705,220,nonspam
0,0,0,0,1.886,1.375,11,nonspam
0,0,0,0.69,0,2.488,112,nonspam
0,0,0,0,0,2,4,nonspam
0,0,0,1.07,0,1.416,68,nonspam
0,0,0,0,0,3.606,357,nonspam
0,0,0,2.34,0,2.448,120,nonspam
0,0,0.25,0,0,1.958,329,nonspam
0,0.11,0,1.35,0.042,2.031,971,nonspam
0,0,0,0,0,1.687,496,nonspam
0,0,0,0.29,0.052,2.721,566,nonspam
0,0,0,1.36,0,2.186,164,nonspam
0,0,0,2.4,0,1.696,56,nonspam
0,0,0,0,0,5.5,11,nonspam
0,0,7.69,0,0,1,4,nonspam
0,0,0,0,0,2.204,496,nonspam
0,0,0,0,0,5.5,11,nonspam
0,0,0,0,0,3.108,115,nonspam
0,0,0,0.34,0,1.062,137,nonspam
0,0,0,0.14,0.02,4.113,654,nonspam
0,0,0,0,0,1.666,15,nonspam
0,0,2.17,0,0,4,68,nonspam
0,0,0,0,0,1.5,24,nonspam
0,0.26,0,2.08,0,2.545,168,nonspam
0,0,0,0.31,0,1.446,94,nonspam
0,0,0,1.44,0.074,2.534,185,nonspam
0,0,0,0.32,0,1.89,138,nonspam
0,0,0,0,0,5.5,11,nonspam
0,0,0,2.06,0.073,2.206,1026,nonspam
0,0,0,0,0,1.142,16,nonspam
0,0.27,0,2.18,0,2.593,166,nonspam
0,0.01,0.13,0.03,0.008,2.145,2954,nonspam
0,0,0.33,0.58,0,4.179,1655,nonspam
0,0,0,5,0.17,1.692,22,nonspam
0,0,0,0,0,1.974,77,nonspam
0,0,0,0.71,0,2.239,206,nonspam
0,0,3.57,0,0.239,1.687,27,nonspam
0,0,2,0,0,1.611,29,nonspam
0,0,0,2.76,0.202,1.945,142,nonspam
0,0,0,0,0,1.666,15,nonspam
0,0,0,0,0,2.27,84,nonspam
0,0,0,3.44,0,2.058,35,nonspam
0,0,0,1.16,0.148,1.972,71,nonspam
0,0,0,0,0,3.533,53,nonspam
0,0,0,0,0,2.533,76,nonspam
0,0,0,1.77,0.313,7.588,129,nonspam
0,0,0,0.57,0,1.5,72,nonspam
0,0,0,0,0,3.414,536,nonspam
0,0,0,0,0.125,2.925,158,nonspam
0.5,0,0,1.25,0.045,1.324,98,nonspam
0,0,0.05,0.22,0,2.887,875,nonspam
0,0,0,0.71,0.372,1.641,110,nonspam
0.25,0.25,1.02,2.05,0.413,1.78,146,nonspam
0,0,0,0,0.214,1.263,24,nonspam
0,0,0,1.38,0.448,1.451,45,nonspam
0,0,0,0,1.234,3,15,nonspam
0,0,0,0.76,0,1.735,59,nonspam
0,0,0,0,0.165,1.666,45,nonspam
0,0,0,0,0,1.5,6,nonspam
0,0,0,0,0,2.025,81,nonspam
0,0,0,3.4,0,2.555,92,nonspam
0,0,0,1.92,0,2.307,30,nonspam
0,0,0,1.36,0,1,17,nonspam
0,0,0,4,0.724,2.285,16,nonspam
0,0,0,1.4,0,18,378,nonspam
0,0,0,0,0,1.566,462,nonspam
0,0,0,0,0,2.165,446,nonspam
0,0,0,0,0,1.461,38,nonspam
0,0,0,1.01,0,1.644,74,nonspam
0,0,0,0.42,0.151,1.533,69,nonspam
0,0,1.96,0,0,2.95,59,nonspam
0,0,0,0,0,1.353,88,nonspam
0,0,1.66,1.66,0.167,1.533,46,nonspam
0,0,0,0.81,0,2.473,47,nonspam
0,0,0,1.07,0,2.666,104,nonspam
0,0,0,0.52,0.047,1.948,836,nonspam
0,0,0,2.56,0,2.266,34,nonspam
0,0,0,1.33,0.03,2.852,388,nonspam
0,0,0,0,0,3.1,31,nonspam
0,0,0,0,0,1,4,nonspam
0,0,0,2.43,0,1.2,12,nonspam
0,0,0,0,0,1.5,66,nonspam
0,0,0,0,0,3.875,93,nonspam
0,0,0,0.67,0.134,3.08,693,nonspam
0,0,0,0,0.161,1.25,15,nonspam
0,0,0,0.69,0.284,2,60,nonspam
0,0,0,0.52,0,3.185,481,nonspam
0,0,0,0.17,0,3.851,1583,nonspam
0,0,0,2.87,0,1.95,156,nonspam
0,0,0.04,0.19,0,3.685,1463,nonspam
0,0,0,0,0,1.19,25,nonspam
0,0,0,0,0,2.4,24,nonspam
0,0,0,0,0,2.361,562,nonspam
0,0,0,1.94,0,8.125,195,nonspam
0,0,0,0,0,2.142,60,nonspam
0,0,0,1.62,0.37,5.375,129,nonspam
0,0,0,0,0,7,35,nonspam
0,0,0.27,1.08,0,4.971,517,nonspam
0,0,1.12,4.49,0.111,1.23,32,nonspam
0,0,0,0.72,0.063,2.562,123,nonspam
0,0,0,2.38,0,1.2,12,nonspam
0,0,0,0,0,5,20,nonspam
0,0,0,0.54,0,4.891,675,nonspam
0,0,0,0,0,1.625,13,nonspam
0,0,0,0.42,0,3.34,167,nonspam
0,0,0,0,0,1.125,9,nonspam
0,0,0,1.75,0,1.466,44,nonspam
0,0,0,0,0,3.016,187,nonspam
0,0,0,1.02,0.176,1.241,36,nonspam
0,0,0,0,0,1.444,104,nonspam
0,0,0,0,0,1.333,12,nonspam
0,0,0,0.76,0.127,1.755,79,nonspam
0,0,0,2.46,0,1.166,14,nonspam
0,0,0,0,0,1.554,143,nonspam
0,0,1.04,1.04,0.179,2.037,55,nonspam
0,0,0,0,0,1.545,17,nonspam
0,0,0,1.02,0,1.857,65,nonspam
0,0,0,0,0,1.6,8,nonspam
0,0,0.46,5.11,0.065,2,86,nonspam
0,0,0,0.58,0,2.246,146,nonspam
0,0,0,0,0,4.472,161,nonspam
0,0,0,0.51,0,4,216,nonspam
0,0,0,0,0,1.55,31,nonspam
0,0,0,0.52,0,2.225,158,nonspam
0,0,0,1.19,0,2.238,141,nonspam
0,0,0,2.58,0.141,1.535,43,nonspam
0,0,0.58,0,0,2.506,183,nonspam
0,1.72,0,1.03,0,3.344,194,nonspam
0,0.58,0,0,0,251,1506,nonspam
0,0,0.15,1.38,0,1.837,305,nonspam
0,0,0,0.29,0.376,3.338,611,nonspam
0,0,0,0.86,0,2.119,142,nonspam
0,0,0,1.11,0,2.113,167,nonspam
0,0,0,0,0,2,36,nonspam
0,0,0,0,0,1.61,95,nonspam
0,0,0.6,0.6,0,3.266,196,nonspam
0,0,0,0,0,1.666,15,nonspam
0,0,0,1.42,0,1.292,84,nonspam
0,0,0,1.85,0,1,19,nonspam
0,0,0,1.61,0,1.25,15,nonspam
0,0,0,0,0,3.857,162,nonspam
0,0,0,1.1,0,2.293,172,nonspam
0,0,0,0,0,1.673,82,nonspam
0,0,0,1.57,0,1,16,nonspam
0,0,0,0,0,1.785,75,nonspam
0,0,0,0,0,1,6,nonspam
0,0,0,0,0,4.19,88,nonspam
0,0,0,0,0,2.057,72,nonspam
0,0,0,0,0,1.75,21,nonspam
0,0,0,1.4,0,2.464,207,nonspam
0,0,0,0,0,4.068,236,nonspam
0,0,1.33,0,0.144,1.857,39,nonspam
0,0,0,2.1,0,1.746,145,nonspam
0,0,0,1.03,0,25.812,413,nonspam
0,0,1.81,0,0,3.382,159,nonspam
0,0,0,1.14,0,3.28,82,nonspam
0,0,0,1.08,0,1.263,24,nonspam
0,0,0.1,0.1,0,1.636,527,nonspam
0,0,0,0.67,0,2.976,128,nonspam
0,0,0,0,0,3.225,129,nonspam
0,0,0,1.19,0,3.09,68,nonspam
0,0,0,0,0,1.25,85,nonspam
0,0,0.32,0.32,0,4.295,262,nonspam
0,0,0,1.85,0.318,2.695,62,nonspam
0,0,0,0,0,3.7,148,nonspam
0,0,0,3.84,0,1,6,nonspam
0,0,0,2.22,0.176,2.1,63,nonspam
0,0,0,0,0,3.6,36,nonspam
0,0,0,4.44,0.383,1.333,8,nonspam
0,0,0,0,0,1,5,nonspam
0,0,0,0.66,0.05,2.725,248,nonspam
0,0,0.2,0.4,0,2.61,308,nonspam
0,0,0,2.08,0,1.181,13,nonspam
0,0,0,1.31,0,2.151,71,nonspam
0,0,0.88,0.66,0.023,8.76,876,nonspam
0,0,0,1.03,0,25.812,413,nonspam
0,0,0,1.36,0,2.604,250,nonspam
0,0,0,0,0,4.308,293,nonspam
0,0,0,0,0,2,16,nonspam
0,0,0,0,0,1.428,10,nonspam
0,0,0,0,0,2.097,86,nonspam
0,0,0,0,0,4.268,286,nonspam
0,0,0,4.16,0.74,1.625,13,nonspam
0,0,0,0,0,1.052,20,nonspam
0,0,0,0,0,2.2,11,nonspam
0,0,0,2,0,2.529,86,nonspam
0,0,0,0,0,2.682,110,nonspam
0,0,0,0.68,0.055,2.87,244,nonspam
0,0,0,1.92,0.26,2.2,44,nonspam
0,0,0,3.84,0,1.727,19,nonspam
0,0,0,0,0.374,2.85,57,nonspam
0,0,0,0,0.213,1.75,49,nonspam
0,0,0,0,0,1.733,26,nonspam
0,0,0,0,0,1.592,43,nonspam
0,0.08,0,0.94,0.051,1.838,605,nonspam
0,0,0,4.21,0,2.541,61,nonspam
0,0,0,0,0,1.87,174,nonspam
0,0,0,1.36,0.045,1.465,85,nonspam
0,0,0,0.8,0.139,1.411,24,nonspam
0,0,0,1.69,0.552,1.461,19,nonspam
0,0,0,0,0,2.567,172,nonspam
0,0,0,0.93,0.075,2.482,139,nonspam
0,0,0,0,0,2.108,213,nonspam
0,0,0,2.94,0,1,5,nonspam
0,0.68,0,5.47,0,1.1,22,nonspam
0,0,0,1.77,0.107,2.741,85,nonspam
0,0,0,2.79,0,1.392,39,nonspam
0,0,0,0,0,2.375,19,nonspam
0,0,0,7.27,0,1.125,9,nonspam
0.16,0,0,0,0.02,2.604,758,nonspam
0,0,0,2.65,0.051,1.786,134,nonspam
0,0,0,0,0,1.833,935,nonspam
0,0,0,0.2,0,1.133,263,nonspam
0,0,0,1.7,0,1.228,43,nonspam
0,0,0,0,0,1.25,5,nonspam
0,0,0,0,0.026,2.222,480,nonspam
0,0,0,0.16,0,2.432,557,nonspam
0,0,0,1.62,0,3.039,155,nonspam
0,0,0,0,0.5,1.538,20,nonspam
0,0,0,0,0,3.714,26,nonspam
0,0,0,0,0,3.631,69,nonspam
0,0,0,0,0,3.631,69,nonspam
0,0,0,0,0,1.583,38,nonspam
0,0,0,0,0,1,7,nonspam
0,0,0,0,0.09,2.43,666,nonspam
0,0,0,0,0,1,5,nonspam
0,0,0,0,0,4.333,13,nonspam
0,0,0,1.16,1.458,1.066,16,nonspam
0,0,0,0.08,0,4.858,2026,nonspam
0,0,0,0.38,0,3.704,726,nonspam
0,0,0,0.09,0,2.188,510,nonspam
0,0,0.05,0.31,0,2.725,1150,nonspam
0,0,0,0.99,0,9.876,1116,nonspam
0,0,0,0,0.078,3.153,618,nonspam
0,0,0.46,1.38,0,4.153,162,nonspam
0,0,0,1.12,0.072,3.242,347,nonspam
0.16,0.99,0,2.8,0.076,3.401,364,nonspam
0,0,0,0,0,1.75,14,nonspam
0,0,0,1.06,0.026,2.941,353,nonspam
0,0,0,0,0,1.25,5,nonspam
0,0,0,0.39,0,1.309,55,nonspam
0,0.07,0,1.54,0,1.588,243,nonspam
0,0,0,0,0,3.571,75,nonspam
0,0,0,0,0.294,3.714,78,nonspam
0,0,0,1.56,0.041,1.517,44,nonspam
0,0,0,1.21,0.044,2.222,120,nonspam
0,0,0,0.81,0.285,2.136,47,nonspam
0,0,0,1.99,0,2.891,347,nonspam
0,0,0,1.69,0,3.315,63,nonspam
0,0,0,1.29,0,1.857,39,nonspam
0,0,0,0,0,4.03,133,nonspam
3.07,0,0,3.07,0.251,3.214,45,nonspam
0,0,0,1.04,0,1,17,nonspam
0,0,0,0,0,1.607,45,nonspam
0,0,0,0,0,1.545,17,nonspam
0,0,0,0,0,4.413,1399,nonspam
0,0,0.32,0,0,4.093,262,nonspam
0,0,0.84,0,0.123,5.515,182,nonspam
0,0,1.66,0,0,4.052,77,nonspam
0,0,0,0,0,1.333,8,nonspam
0,0,0,0,0,1.666,10,nonspam
0,0.78,0,1.56,0,2.62,76,nonspam
0,0,0,0,0,1,4,nonspam
0,0,0,1.42,0,2.315,88,nonspam
0,0,0,1.85,0,2.526,48,nonspam
0,0,0,0,0,1.23,16,nonspam
0,0,0,0,0,1.25,10,nonspam
0,0,0,0,0,3.578,68,nonspam
0,0,0,0.82,0,1.263,192,nonspam
0,0,0,0,0,2.318,51,nonspam
0,0,0,0,0,1,5,nonspam
0,0,0,0,1.798,2.615,34,nonspam
0,0,0,0,0,5.357,150,nonspam
0,0.08,0,0,0,2.658,436,nonspam
0,0,0,3.84,0,2.333,21,nonspam
0,0,0,0,0,1.268,52,nonspam
0,0,0,0,0,1.394,53,nonspam
0.31,0,0.31,0.63,0,3.547,259,nonspam
0,0,0,0,0,2.394,881,nonspam
0,0,0,4.37,0,1.48,37,nonspam
0.32,0,0.32,0.98,0,5.633,338,nonspam
0,0,0.9,0.9,0.225,1.807,47,nonspam
0,0,0,0,0,2.25,27,nonspam
0,0,0,0,0.432,2,60,nonspam
0,0,0.05,0.05,0,1.997,1620,nonspam
0,0,0,0.6,0,4.536,186,nonspam
0,0,0.74,1.49,0.102,2.121,87,nonspam
0,0,0.91,1.83,0.116,1.619,68,nonspam
0,0,0.57,0,0,1.947,111,nonspam
0,0,0,0,0.063,3.133,749,nonspam
0,0,0,0,0,1.4,7,nonspam
0,0,0,0.88,0.044,1.664,1263,nonspam
0,0,0,0,0.069,2.776,622,nonspam
0,0,0,0,0,1.586,92,nonspam
0,0,0,0,0,1.833,22,nonspam
0,0,0,6.5,0.145,1.342,51,nonspam
0,0,0,0,0.102,4.771,167,nonspam
0,0,0,0.29,0.044,1.666,180,nonspam
0,0,0,0,0,1.222,11,nonspam
0,0.11,0.07,0.07,0.002,2.106,3027,nonspam
0,0,0,2.38,0,3.086,142,nonspam
0,0,0,0,0,1,3,nonspam
0,0,0,3.14,0.087,2.812,90,nonspam
0,0,0,0,0,2.297,680,nonspam
0,0,0,0,0,1,1,nonspam
0,0,0,0,0,1.888,17,nonspam
0,0,0,1.72,0.25,2.619,55,nonspam
0,0,0,0,0,1.75,7,nonspam
0,0,0.57,0,0,1.964,110,nonspam
0,0,0,0,0,2,16,nonspam
0,0.99,0,2.97,0.262,1.565,36,nonspam
0,0,0,0,0,1.666,25,nonspam
0,0,0,0,0,1.333,4,nonspam
0,0,0,1.45,0,1.897,74,nonspam
0,0,0,1.17,0,1.76,81,nonspam
0,0,0,3.67,0,2.171,76,nonspam
0,0,0,1.41,0,1.56,39,nonspam
0,0,0,2.5,0,1.222,11,nonspam
0,0,0,2.09,0.309,3.973,151,nonspam
0,0,0,0.66,0.104,2.152,127,nonspam
0,0,0,2.59,0,1.35,27,nonspam
0,0,0,0,0,1,3,nonspam
0,0,0,0,0,3,348,nonspam
0,0,0,0,0,1,6,nonspam
0,0,0,0,0,1,4,nonspam
0,0,0,0,0,6.113,593,nonspam
0,0,0,2.01,0,2.319,109,nonspam
0,0,0,2.63,0,1.433,86,nonspam
0,0,0,1.15,0.103,1.411,24,nonspam
0,0,0,0,0,1.1,11,nonspam
0,0,0,0,0,2.6,13,nonspam
0,0,0,0,0,1.285,9,nonspam
0,0,0,0,0.239,2.688,121,nonspam
0,0,0,0.81,0,2.521,517,nonspam
0,0,0,0,1.123,2.6,26,nonspam
0,0,0.48,0.96,0.138,1.986,147,nonspam
0,0,0,0,0,1,4,nonspam
0,0,0,0,0,11.687,187,nonspam
0,0,0,1.08,0,3.372,344,nonspam
0,0.93,0,2.8,0,1.771,62,nonspam
0,0,0,4.25,0,1.772,78,nonspam
0,0,0,0,0,2.351,508,nonspam
0,0,0,6.75,0,1.913,44,nonspam
0,0,0,2.39,0,3.153,246,nonspam
0,0,0.46,1.69,0,2.677,415,nonspam
0,0,0,1.08,0,2.421,92,nonspam
0,0,1.23,1.23,0,2.142,75,nonspam
0,0,0,1.2,0,2.2,55,nonspam
0,0,0,2.35,0.203,2.541,61,nonspam
0,0,0,4.16,0,2.25,18,nonspam
0,1.85,0,0,0,2.916,35,nonspam
0,0,0.65,0,0,2.59,386,nonspam
0,0,0,0,2.272,1.75,14,nonspam
0,0,0,0,0,2.064,322,nonspam
0,0,0,0,0,2.95,59,nonspam
0,0,0,0,0,1.755,79,nonspam
0,0,0,2.04,0.286,2.434,56,nonspam
0,0,1.26,0,0.147,1.962,53,nonspam
0,0,0,0.42,0,2.161,294,nonspam
0,0,0,1.88,0.277,3,51,nonspam
0,0,0,0,0,3.041,219,nonspam
0,0,0.31,0,0,3.086,250,nonspam
0,0,0,8.33,0,1,2,nonspam
0,1.38,0,1.38,0,2.333,42,nonspam
0,0,0,2.5,0,1.416,17,nonspam
0,0,0,0.29,0,2.247,481,nonspam
0,0,0,1.57,0.033,2.28,203,nonspam
0,0,0,0,0,2.75,55,nonspam
0,0,0,0,0,1,5,nonspam
0,0.09,0,1.77,0.068,2.059,593,nonspam
0,0,0.65,0,0.055,1.685,59,nonspam
0,0,0.45,2.28,0.486,3.782,87,nonspam
0,0,0,1.52,0,1.411,24,nonspam
0.22,0,1.55,2.88,0.073,2.574,224,nonspam
0,0,0,0,0,1.227,27,nonspam
0,0,0,0.92,0.029,3.455,387,nonspam
0,0,0,1.15,0.053,2.548,1134,nonspam
0,0,0,0,0,1.533,46,nonspam
0,0,0,0,0,1.718,122,nonspam
0,0,0,0,0,3.478,80,nonspam
0,0,0,2.56,0.331,1.842,35,nonspam
0,0,0,0,0,1.72,43,nonspam
0,0,0,0,0,3.368,64,nonspam
0,0,0,0,0,2.217,204,nonspam
0,0,0,0,0,3.333,30,nonspam
0,0,0,0,0,3.166,57,nonspam
0,0,0,0,0,2.95,59,nonspam
0,0,0,0,0,1,4,nonspam
0,0,0,0,0,3.478,80,nonspam
0,0,0,0,0,1.5,9,nonspam
0,0,0.55,1.65,0,6.894,393,nonspam
0,0,0,0.58,0,3.552,373,nonspam
0,0,0,2,0,5.888,53,nonspam
0,0,0,1.58,0.149,1.482,43,nonspam
0,0,0,3.33,0,1.375,11,nonspam
0,0.33,0.33,0.33,0,2.016,125,nonspam
0,0,0,0,0,1,14,nonspam
0,0,0,0.49,0,1.89,189,nonspam
0,0,0,0,0,2.666,96,nonspam
0,0,0.15,0.62,0,1.945,323,nonspam
0,0,0,3.03,0,2,42,nonspam
0,0,0,0.49,0,3.237,505,nonspam
0,0,0,0,0,3.651,157,nonspam
0,0,0,0,0,1.5,63,nonspam
