,Manufacturer,Price,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Weight
1,Acura,15.9,4,1.8,140,6300,2890,13.2,5,177,102,68,37,2705
2,Acura,33.9,6,3.2,200,5500,2335,18,5,195,115,71,38,3560
3,Audi,29.1,6,2.8,172,5500,2280,16.9,5,180,102,67,37,3375
4,Audi,37.7,6,2.8,172,5500,2535,21.1,6,193,106,70,37,3405
5,BMW,30,4,3.5,208,5700,2545,21.1,4,186,109,69,39,3640
6,Buick,15.7,4,2.2,110,5200,2565,16.4,6,189,105,69,41,2880
7,Buick,20.8,6,3.8,170,4800,1570,18,6,200,111,74,42,3470
8,Buick,23.7,6,5.7,180,4000,1320,23,6,216,116,78,45,4105
9,Buick,26.3,6,3.8,170,4800,1690,18.8,5,198,108,73,41,3495
10,Cadillac,34.7,8,4.9,200,4100,1510,18,6,206,114,73,43,3620
11,Cadillac,40.1,8,4.6,295,6000,1985,20,5,204,111,74,44,3935
12,Chevrolet,13.4,4,2.2,110,5200,2380,15.2,5,182,101,66,38,2490
13,Chevrolet,11.4,4,2.2,110,5200,2665,15.6,5,184,103,68,39,2785
14,Chevrolet,15.1,6,3.4,160,4600,1805,15.5,4,193,101,74,43,3240
15,Chevrolet,15.9,4,2.2,110,5200,2595,16.5,6,198,108,71,40,3195
16,Chevrolet,16.3,6,3.8,170,4800,1690,20,7,178,110,74,44,3715
17,Chevrolet,16.6,6,4.3,165,4000,1790,27,8,194,111,78,42,4025
18,Chevrolet,18.8,8,5,170,4200,1350,23,6,214,116,77,42,3910
19,Chevrolet,38,8,5.7,300,5000,1450,20,2,179,96,74,43,3380
20,Chrylser,18.4,6,3.3,153,5300,1990,18,6,203,113,74,40,3515
21,Chrysler,15.8,4,3,141,5000,2090,16,6,183,104,68,41,3085
22,Chrysler,29.5,6,3.3,147,4800,1785,16,6,203,110,69,44,3570
23,Dodge,9.2,4,1.5,92,6000,3285,13.2,5,174,98,66,32,2270
24,Dodge,11.3,4,2.2,93,4800,2595,14,5,172,97,67,38,2670
25,Dodge,13.3,4,2.5,100,4800,2535,16,6,181,104,68,39,2970
26,Dodge,19,6,3,142,5000,1970,20,7,175,112,72,42,3705
27,Dodge,15.6,4,2.5,100,4800,2465,16,6,192,105,69,42,3080
28,Dodge,25.8,6,3,300,6000,2120,19.8,4,180,97,72,40,3805
29,Eagle,12.2,4,1.5,92,6000,2505,13.2,5,174,98,66,36,2295
30,Eagle,19.3,6,3.5,214,5800,1980,18,6,202,113,74,40,3490
31,Ford,7.4,4,1.3,63,5000,3150,10,4,141,90,63,33,1845
32,Ford,10.1,4,1.8,127,6500,2410,13.2,5,171,98,67,36,2530
33,Ford,11.3,4,2.3,96,4200,2805,15.9,5,177,100,68,39,2690
34,Ford,15.9,4,2.3,105,4600,2285,15.4,4,180,101,68,40,2850
35,Ford,14,4,2,115,5500,2340,15.5,4,179,103,70,38,2710
36,Ford,19.9,6,3,145,4800,2080,21,7,176,119,72,45,3735
37,Ford,20.2,6,3,140,4800,1885,16,5,192,106,71,40,3325
38,Ford,20.9,8,4.6,190,4200,1415,20,6,212,114,78,43,3950
39,Geo,8.4,3,1,55,5700,3755,10.6,4,151,93,63,34,1695
40,Geo,12.5,4,1.6,90,5400,3250,12.4,4,164,97,67,37,2475
41,Honda,19.8,4,2.3,160,5800,2855,15.9,4,175,100,70,39,2865
42,Honda,12.1,4,1.5,102,5900,2650,11.9,4,173,103,67,36,2350
43,Honda,17.5,4,2.2,140,5600,2610,17,4,185,107,67,41,3040
44,Hyundai,8,4,1.5,81,5500,2710,11.9,5,168,94,63,35,2345
45,Hyundai,10,4,1.8,124,6000,2745,13.7,5,172,98,66,36,2620
46,Hyundai,10,4,1.5,92,5550,2540,11.9,4,166,94,64,34,2285
47,Hyundai,13.9,4,2,128,6000,2335,17.2,5,184,104,69,41,2885
48,Infiniti,47.9,8,4.5,278,6000,1955,22.5,5,200,113,72,42,4000
49,Lexus,28,6,3,185,5200,2325,18.5,5,188,103,70,40,3510
50,Lexus,35.2,6,3,225,6000,2510,20.6,4,191,106,71,39,3515
51,Lincoln,34.3,6,3.8,160,4400,1835,18.4,6,205,109,73,42,3695
52,Lincoln,36.1,8,4.6,210,4600,1840,20,6,219,117,77,45,4055
53,Mazda,8.3,4,1.6,82,5000,2370,13.2,4,164,97,66,34,2325
54,Mazda,11.6,4,1.8,103,5500,2220,14.5,5,172,98,66,36,2440
55,Mazda,16.5,4,2.5,164,5600,2505,15.5,5,184,103,69,40,2970
56,Mazda,19.1,6,3,155,5000,2240,19.6,7,190,110,72,39,3735
58,Mercedes-Benz,31.9,4,2.3,130,5100,2425,14.5,5,175,105,67,34,2920
59,Mercedes-Benz,61.9,6,3.2,217,5500,2220,18.5,5,187,110,69,37,3525
60,Mercury,14.1,4,1.6,100,5750,2475,11.1,4,166,95,65,36,2450
61,Mercury,14.9,6,3.8,140,3800,1730,18,5,199,113,73,38,3610
62,Mitsubishi,10.3,4,1.5,92,6000,2505,13.2,5,172,98,67,36,2295
63,Mitsubishi,26.1,6,3,202,6000,2210,19,5,190,107,70,43,3730
64,Nissan,11.8,4,1.6,110,6000,2435,13.2,5,170,96,66,33,2545
65,Nissan,15.7,4,2.4,150,5600,2130,15.9,5,181,103,67,40,3050
66,Nissan,19.1,6,3,151,4800,2065,20,7,190,112,74,41,4100
67,Nissan,21.5,6,3,160,5200,2045,18.5,5,188,104,69,41,3200
68,Oldsmobile,13.5,4,2.3,155,6000,2380,15.2,5,188,103,67,39,2910
69,Oldsmobile,16.3,4,2.2,110,5200,2565,16.5,5,190,105,70,42,2890
70,Oldsmobile,19.5,6,3.8,170,4800,1690,20,7,194,110,74,44,3715
71,Oldsmobile,20.7,6,3.8,170,4800,1570,18,6,201,111,74,42,3470
72,Plymouth,14.4,4,1.8,92,5000,2360,15.9,4,173,97,67,39,2640
73,Pontiac,9,4,1.6,74,5600,3130,13.2,4,177,99,66,35,2350
74,Pontiac,11.1,4,2,110,5200,2665,15.2,5,181,101,66,39,2575
75,Pontiac,17.7,6,3.4,160,4600,1805,15.5,4,196,101,75,43,3240
76,Pontiac,18.5,6,3.4,200,5000,1890,16.5,5,195,108,72,41,3450
77,Pontiac,24.4,6,3.8,170,4800,1565,18,6,177,111,74,43,3495
78,Saab,28.7,4,2.1,140,6000,2910,18,5,184,99,67,37,2775
79,Saturn,11.1,4,1.9,85,5000,2145,12.8,5,176,102,68,40,2495
80,Subaru,8.4,3,1.2,73,5600,2875,9.2,4,146,90,60,32,2045
81,Subaru,10.9,4,1.8,90,5200,3375,15.9,5,175,97,65,35,2490
82,Subaru,19.5,4,2.2,130,5600,2330,15.9,5,179,102,67,37,3085
83,Suzuki,8.6,3,1.3,70,6000,3360,10.6,4,161,93,63,34,1965
84,Toyota,9.8,4,1.5,82,5200,3505,11.9,5,162,94,65,36,2055
85,Toyota,18.4,4,2.2,135,5400,2405,15.9,4,174,99,69,39,2950
86,Toyota,18.2,4,2.2,130,5400,2340,18.5,5,188,103,70,38,3030
87,Toyota,22.7,4,2.4,138,5000,2515,19.8,7,187,113,71,41,3785
88,Volkswagen,9.1,4,1.8,81,5500,2550,12.4,4,163,93,63,34,2240
89,Volkswagen,19.7,5,2.5,109,4500,2915,21.1,7,187,115,72,38,3960
90,Volkswagen,20,4,2,134,5800,2685,18.5,5,180,103,67,35,2985
91,Volkswagen,23.3,6,2.8,178,5800,2385,18.5,4,159,97,66,36,2810
92,Volvo,22.7,4,2.3,114,5400,2215,15.8,5,190,104,67,37,2985
93,Volvo,26.7,5,2.4,168,6200,2310,19.3,5,184,105,69,38,3245
