年月日,最高気温(℃),使用実績(万kW)
2008/4/1,17,3986
2008/4/2,16.4,3947
2008/4/3,18.7,3893
2008/4/4,18.1,3873
2008/4/5,19.6,3314
2008/4/6,19.3,2976
2008/4/7,16,4076
2008/4/8,14,4342
2008/4/9,16.4,3902
2008/4/10,11.3,4354
2008/4/11,20.3,3897
2008/4/12,20.3,3373
2008/4/13,13.7,3348
2008/4/14,16.6,3959
2008/4/15,20.7,3883
2008/4/16,21,3947
2008/4/17,19.8,4032
2008/4/18,14.9,4163
2008/4/19,16.9,3476
2008/4/20,17.9,3095
2008/4/21,20.5,3868
2008/4/22,20.7,3906
2008/4/23,21.6,3912
2008/4/24,20.9,3997
2008/4/25,18.4,3862
2008/4/26,16.4,3535
2008/4/27,18.1,3019
2008/4/28,19.2,3598
2008/4/29,22.3,3305
2008/4/30,25.8,3855
2008/5/1,24.3,3747
2008/5/2,22.3,3716
2008/5/3,21.3,3013
2008/5/4,21,2872
2008/5/5,21.2,2970
2008/5/6,25.5,3152
2008/5/7,26.5,4019
2008/5/8,23.5,3990
2008/5/9,23.1,3999
2008/5/10,17.2,3652
2008/5/11,14.2,3126
2008/5/12,15,3923
2008/5/13,13.5,4129
2008/5/14,15,4039
2008/5/15,21.9,3918
2008/5/16,22.6,3980
2008/5/17,22.9,3445
2008/5/18,23.2,3055
2008/5/19,23.6,4015
2008/5/20,24.1,4101
2008/5/21,24.7,4033
2008/5/22,27,4209
2008/5/23,29,4445
2008/5/24,25.9,3625
2008/5/25,23.4,3233
2008/5/26,27.1,4368
2008/5/27,28.8,4292
2008/5/28,26.5,4225
2008/5/29,17.5,4042
2008/5/30,17.1,3970
2008/5/31,14.4,3551
2008/6/1,23.5,3065
2008/6/2,21.9,3956
2008/6/3,16.5,4016
2008/6/4,22.4,3948
2008/6/5,21.1,4020
2008/6/6,27.6,4276
2008/6/7,26.2,3656
2008/6/8,24.2,3226
2008/6/9,22.9,4210
2008/6/10,27,4350
2008/6/11,26.5,4363
2008/6/12,21.8,4079
2008/6/13,26.7,4350
2008/6/14,29.1,3758
2008/6/15,24.3,3263
2008/6/16,26.7,4384
2008/6/17,26,4377
2008/6/18,25.8,4397
2008/6/19,27.6,4484
2008/6/20,24.3,4478
2008/6/21,25.9,3978
2008/6/22,23.3,3475
2008/6/23,24.9,4245
2008/6/24,27.7,4520
2008/6/25,25.1,4331
2008/6/26,19.1,4059
2008/6/27,25.3,4263
2008/6/28,26.1,3787
2008/6/29,22.5,3349
2008/6/30,24.7,4160
2008/7/1,25.5,4250
2008/7/2,26.9,4502
2008/7/3,27.3,4470
2008/7/4,31.6,5006
2008/7/5,31.4,4539
2008/7/6,30.7,4160
2008/7/7,26.9,4659
2008/7/8,26.5,4735
2008/7/9,26.1,4493
2008/7/10,27.8,4552
2008/7/11,29.4,4884
2008/7/12,33.8,4576
2008/7/13,32.7,4279
2008/7/14,32.7,5353
2008/7/15,31.4,5311
2008/7/16,31.7,5422
2008/7/17,31.7,5515
2008/7/18,32.1,5289
2008/7/19,33.8,4819
2008/7/20,32.1,4290
2008/7/21,30.3,4414
2008/7/22,32.4,5564
2008/7/23,32.4,5713
2008/7/24,33.1,5847
2008/7/25,34.5,6008
2008/7/26,31.7,4751
2008/7/27,32.9,4434
2008/7/28,33.4,5263
2008/7/29,33,5299
2008/7/30,31.6,5154
2008/7/31,30.7,5147
2008/8/1,31.5,5308
2008/8/2,31.7,4816
2008/8/3,32.7,4730
2008/8/4,34.5,6025
2008/8/5,30.6,5352
2008/8/6,34.3,5660
2008/8/7,34.2,5991
2008/8/8,35.3,6089
2008/8/9,33,4811
2008/8/10,29.2,3956
2008/8/11,32.5,5151
2008/8/12,32.9,5022
2008/8/13,32.2,4786
2008/8/14,34.5,4701
2008/8/15,34.9,4862
2008/8/16,34.1,4505
2008/8/17,25.5,3368
2008/8/18,29.7,4725
2008/8/19,34.8,5401
2008/8/20,32.4,5345
2008/8/21,31.1,5150
2008/8/22,25.3,4313
2008/8/23,22.8,3568
2008/8/24,23.6,3399
2008/8/25,25.4,4318
2008/8/26,24.2,4276
2008/8/27,29.1,4612
2008/8/28,29.2,4806
2008/8/29,30.4,5030
2008/8/30,29.1,4158
2008/8/31,30.4,3979
2008/9/1,30.8,5076
2008/9/2,31.8,5372
2008/9/3,32.3,5496
2008/9/4,30.5,5173
2008/9/5,29.7,5173
2008/9/6,30.6,4478
2008/9/7,31.1,4186
2008/9/8,31.4,5189
2008/9/9,30,4844
2008/9/10,28.7,4695
2008/9/11,26.6,4455
2008/9/12,31.3,5058
2008/9/13,31.5,4344
2008/9/14,29.2,3841
2008/9/15,26.6,3909
2008/9/16,26.9,4537
2008/9/17,29.1,4808
2008/9/18,25.6,4474
2008/9/19,26.3,4519
2008/9/20,29.1,4144
2008/9/21,25.2,3509
2008/9/22,22.8,4094
2008/9/23,28,3963
2008/9/24,28.1,4407
2008/9/25,28.9,4480
2008/9/26,29.7,4514
2008/9/27,22.8,3462
2008/9/28,19.6,3057
2008/9/29,17.9,3897
2008/9/30,18.8,3859
2009/4/1,12.5,3968
2009/4/2,14.8,3834
2009/4/3,17.2,3647
2009/4/4,18.1,3128
2009/4/5,19,2871
2009/4/6,19.2,3599
2009/4/7,20.7,3638
2009/4/8,20.4,3639
2009/4/9,24.3,3683
2009/4/10,23.2,3620
2009/4/11,26.1,3138
2009/4/12,20.6,2875
2009/4/13,23.1,3667
2009/4/14,23,3785
2009/4/15,24.4,3733
2009/4/16,22.8,3757
2009/4/17,15.4,3753
2009/4/18,18.9,3109
2009/4/19,22.5,2858
2009/4/20,20.2,3646
2009/4/21,20.2,3813
2009/4/22,24.3,3782
2009/4/23,21.6,3680
2009/4/24,16.4,3620
2009/4/25,13.3,3525
2009/4/26,22.7,2836
2009/4/27,19.4,3491
2009/4/28,17.6,3481
2009/4/29,20.8,3034
2009/4/30,23,3458
2009/5/1,23.8,3444
2009/5/2,24.5,3034
2009/5/3,23.5,2695
2009/5/4,23.7,2777
2009/5/5,19.9,2823
2009/5/6,19.4,3075
2009/5/7,19.8,3670
2009/5/8,20.3,3700
2009/5/9,25.5,3329
2009/5/10,28.3,3113
2009/5/11,24.8,3892
2009/5/12,24.9,3999
2009/5/13,26.3,4001
2009/5/14,23.4,3844
2009/5/15,20.1,3684
2009/5/16,19.6,3194
2009/5/17,22,2971
2009/5/18,28.4,3943
2009/5/19,24.2,3936
2009/5/20,29.3,4142
2009/5/21,27.6,4155
2009/5/22,24.3,3985
2009/5/23,28.6,3539
2009/5/24,22,3031
2009/5/25,22.8,3851
2009/5/26,25.8,4032
2009/5/27,26,3987
2009/5/28,20,3866
2009/5/29,19.5,3756
2009/5/30,20.4,3274
2009/5/31,22.9,3078
2009/6/1,22.1,3772
2009/6/2,26.2,3932
2009/6/3,24.4,3909
2009/6/4,23.5,3927
2009/6/5,21.8,3870
2009/6/6,24.2,3335
2009/6/7,28.9,3198
2009/6/8,20.2,3812
2009/6/9,24.3,3968
2009/6/10,25.9,4058
2009/6/11,25,4014
2009/6/12,28.1,4056
2009/6/13,26.8,3528
2009/6/14,23.9,3157
2009/6/15,23.9,3955
2009/6/16,23.3,3941
2009/6/17,24.6,4001
2009/6/18,24.1,3981
2009/6/19,26.7,4098
2009/6/20,27.6,3572
2009/6/21,24,3293
2009/6/22,24.9,4189
2009/6/23,29.7,4639
2009/6/24,26.9,4311
2009/6/25,28.2,4438
2009/6/26,31.9,4652
2009/6/27,31.8,4099
2009/6/28,25.6,3387
2009/6/29,29.9,4517
2009/6/30,25.7,4198
2009/7/1,25.7,4250
2009/7/2,22.6,4141
2009/7/3,26.3,4163
2009/7/4,27.6,3642
2009/7/5,26.3,3336
2009/7/6,24.7,4250
2009/7/7,31.5,4791
2009/7/8,27.8,4542
2009/7/9,30.5,4779
2009/7/10,30.3,4662
2009/7/11,27.4,3589
2009/7/12,29.2,3521
2009/7/13,33.6,5019
2009/7/14,31.3,4940
2009/7/15,33.6,5301
2009/7/16,34.2,5411
2009/7/17,28.4,4649
2009/7/18,29.8,4104
2009/7/19,33.9,4066
2009/7/20,30,4084
2009/7/21,23.7,4259
2009/7/22,27.7,4433
2009/7/23,29.7,4599
2009/7/24,27.9,4616
2009/7/25,31.9,4298
2009/7/26,33.8,4335
2009/7/27,30.9,4973
2009/7/28,28.4,4688
2009/7/29,31.2,5017
2009/7/30,33.2,5450
2009/7/31,26.5,4377
2009/8/1,29,3826
2009/8/2,26.4,3467
2009/8/3,30.3,4816
2009/8/4,29.6,4827
2009/8/5,30,5094
2009/8/6,30.5,5039
2009/8/7,33.2,5254
2009/8/8,30.4,4245
2009/8/9,32.1,4040
2009/8/10,28.6,4535
2009/8/11,29.1,4471
2009/8/12,30.6,4349
2009/8/13,31.7,4352
2009/8/14,30.5,4149
2009/8/15,31.7,3848
2009/8/16,33.2,3904
2009/8/17,30.8,4858
2009/8/18,30.1,4861
2009/8/19,31.3,4887
2009/8/20,31.6,5064
2009/8/21,32.5,5089
2009/8/22,31.6,4562
2009/8/23,30.7,3842
2009/8/24,30.2,4762
2009/8/25,27.7,4465
2009/8/26,27.6,4405
2009/8/27,29.6,4664
2009/8/28,31.4,4979
2009/8/29,32.3,4423
2009/8/30,27.1,3366
2009/8/31,22.2,3874
2009/9/1,31.5,4699
2009/9/2,24,4053
2009/9/3,24.5,4084
2009/9/4,26.2,4116
2009/9/5,29,3795
2009/9/6,28.5,3545
2009/9/7,29.3,4638
2009/9/8,28.8,4718
2009/9/9,23.7,4131
2009/9/10,28.8,4241
2009/9/11,26.9,4167
2009/9/12,23.3,3411
2009/9/13,28.9,3346
2009/9/14,26.4,4162
2009/9/15,23.9,4019
2009/9/16,28.3,4290
2009/9/17,26.5,4189
2009/9/18,23.8,3931
2009/9/19,25.7,3352
2009/9/20,28.1,3161
2009/9/21,23.4,3238
2009/9/22,25.8,3433
2009/9/23,26.9,3593
2009/9/24,27.6,4229
2009/9/25,28.5,4310
2009/9/26,27.8,3729
2009/9/27,24.4,3143
2009/9/28,26.5,4084
2009/9/29,25.1,4079
2009/9/30,23.2,3878
2010/4/1,20.7,3808
2010/4/2,20,3943
2010/4/3,14.5,3274
2010/4/4,10.9,3304
2010/4/5,12.1,4354
2010/4/6,19.1,3741
2010/4/7,16.3,4175
2010/4/8,13.1,3844
2010/4/9,14.6,3880
2010/4/10,20.2,3257
2010/4/11,23.2,2962
2010/4/12,14.3,4375
2010/4/13,20,3758
2010/4/14,17.4,3747
2010/4/15,11.2,4383
2010/4/16,7.4,4548
2010/4/17,11.5,3637
2010/4/18,16.5,3009
2010/4/19,20,3759
2010/4/20,18.1,3903
2010/4/21,25.5,3816
2010/4/22,14.2,4348
2010/4/23,10.1,4287
2010/4/24,16.7,3370
2010/4/25,16.7,2974
2010/4/26,19.9,3690
2010/4/27,15.7,4055
2010/4/28,15.4,3947
2010/4/29,23.4,3197
2010/4/30,20,3449
2010/5/1,20.1,2976
2010/5/2,22.1,2729
2010/5/3,24,2777
2010/5/4,24.7,2868
2010/5/5,27.6,3069
2010/5/6,27.8,3922
2010/5/7,22.3,3831
2010/5/8,23.7,3410
2010/5/9,26.6,3008
2010/5/10,22.5,3799
2010/5/11,19.7,3873
2010/5/12,21.8,3739
2010/5/13,20.9,3731
2010/5/14,19.6,3722
2010/5/15,19.3,3211
2010/5/16,21.3,2916
2010/5/17,26,3925
2010/5/18,26.3,3997
2010/5/19,22.9,3915
2010/5/20,22.1,4010
2010/5/21,30.9,4205
2010/5/22,27.2,3551
2010/5/23,21,3112
2010/5/24,21.5,3917
2010/5/25,29,4105
2010/5/26,22.5,3883
2010/5/27,22.2,3875
2010/5/28,22.4,3841
2010/5/29,17.6,3323
2010/5/30,16.7,2950
2010/5/31,21.9,3743
2010/6/1,23.2,3793
2010/6/2,24.8,3872
2010/6/3,27.3,3980
2010/6/4,26.4,4030
2010/6/5,24.2,3392
2010/6/6,26.1,3120
2010/6/7,28.2,4165
2010/6/8,23.3,3976
2010/6/9,22.6,3956
2010/6/10,28.2,4231
2010/6/11,27.2,4165
2010/6/12,28.9,3814
2010/6/13,26,3269
2010/6/14,21.5,3951
2010/6/15,27.7,4360
2010/6/16,30.3,4665
2010/6/17,31.6,4755
2010/6/18,28.9,4636
2010/6/19,29.8,4034
2010/6/20,29.1,3644
2010/6/21,29,4672
2010/6/22,29.2,4821
2010/6/23,25.5,4414
2010/6/24,28.3,4506
2010/6/25,31.2,4746
2010/6/26,28.7,4049
2010/6/27,29,3770
2010/6/28,31.8,5132
2010/6/29,28.8,4871
2010/6/30,28.9,4648
2010/7/1,29.5,4900
2010/7/2,31,4916
2010/7/3,28.8,4049
2010/7/4,31.6,4066
2010/7/5,30.3,4984
2010/7/6,30.6,5022
2010/7/7,27.8,4716
2010/7/8,30.1,4916
2010/7/9,27.8,4640
2010/7/10,31.1,4166
2010/7/11,28.9,3725
2010/7/12,29.1,4689
2010/7/13,27.2,4367
2010/7/14,31.3,4679
2010/7/15,31.4,4899
2010/7/16,31.9,5249
2010/7/17,32.1,4492
2010/7/18,31.7,4228
2010/7/19,34.5,4793
2010/7/20,34.5,5726
2010/7/21,36.3,5918
2010/7/22,36.1,5965
2010/7/23,35.7,5999
2010/7/24,35.8,5213
2010/7/25,34.4,4715
2010/7/26,33.3,5550
2010/7/27,33.8,5666
2010/7/28,34.2,5596
2010/7/29,27.9,4659
2010/7/30,29.2,4953
2010/7/31,32.2,4712
2010/8/1,34.1,4654
2010/8/2,32.2,5363
2010/8/3,33.3,5600
2010/8/4,33.8,5657
2010/8/5,33.4,5798
2010/8/6,33.6,5642
2010/8/7,33.2,4742
2010/8/8,32.5,4258
2010/8/9,28.9,4637
2010/8/10,30.5,4939
2010/8/11,31.9,4994
2010/8/12,32.3,4293
2010/8/13,30.3,4200
2010/8/14,32.6,3964
2010/8/15,35.5,4449
2010/8/16,36.3,5529
2010/8/17,37.2,5887
2010/8/18,35.1,5822
2010/8/19,33.1,5487
2010/8/20,31.8,5185
2010/8/21,32.8,4827
2010/8/22,34.6,4683
2010/8/23,35.1,5888
2010/8/24,33.9,5854
2010/8/25,33.8,5806
2010/8/26,34.7,5805
2010/8/27,33.8,5799
2010/8/28,34.7,5050
2010/8/29,34.4,4690
2010/8/30,34.8,5819
2010/8/31,35.8,5884
2010/9/1,35.9,5828
2010/9/2,34.6,5720
2010/9/3,34.5,5818
2010/9/4,35.9,5161
2010/9/5,34.3,4787
2010/9/6,34.1,5798
2010/9/7,35.7,5755
2010/9/8,30.5,4745
2010/9/9,28.6,4681
2010/9/10,29.4,4886
2010/9/11,31.7,4740
2010/9/12,31.7,4365
2010/9/13,33.2,5498
2010/9/14,30.4,5029
2010/9/15,25.7,4236
2010/9/16,21.9,4088
2010/9/17,29.1,4444
2010/9/18,29.6,3921
2010/9/19,29.7,3746
2010/9/20,28.8,3991
2010/9/21,31.7,5106
2010/9/22,32.7,5470
2010/9/23,24.8,3744
2010/9/24,20.2,3752
2010/9/25,22,3251
2010/9/26,24.6,3029
2010/9/27,17.8,3740
2010/9/28,22.8,3838
2010/9/29,25.6,3807
2010/9/30,22,3780
2011/4/1,15.7,3104
2011/4/2,18.4,2739
2011/4/3,9.9,2835
2011/4/4,13.9,3245
2011/4/5,15.4,3231
2011/4/6,19.1,3177
2011/4/7,20.6,3173
2011/4/8,18.7,3216
2011/4/9,18,2970
2011/4/10,17.7,2547
2011/4/11,19.3,3190
2011/4/12,15.7,3215
2011/4/13,20.5,3198
2011/4/14,22.1,3200
2011/4/15,22.5,3205
2011/4/16,24.6,2843
2011/4/17,17.6,2542
2011/4/18,17.4,3255
2011/4/19,18.1,3364
2011/4/20,16.7,3264
2011/4/21,16.2,3338
2011/4/22,18.8,3292
2011/4/23,17.9,3017
2011/4/24,20,2562
2011/4/25,20.1,3238
2011/4/26,21,3255
2011/4/27,24.4,3268
2011/4/28,24.8,3225
2011/4/29,19.1,2861
2011/4/30,22.2,2778
2011/5/1,21.1,2572
2011/5/2,24.2,2868
2011/5/3,18.2,2634
2011/5/4,21.7,2521
2011/5/5,17.2,2664
2011/5/6,19.6,3184
2011/5/7,18.4,3119
2011/5/8,25.9,2675
2011/5/9,23.8,3315
2011/5/10,27.2,3538
2011/5/11,18.5,3471
2011/5/12,16.8,3461
2011/5/13,24.4,3441
2011/5/14,25.1,2978
2011/5/15,25.6,2683
2011/5/16,23.5,3371
2011/5/17,21.7,3407
2011/5/18,23.7,3394
2011/5/19,25.7,3465
2011/5/20,26.7,3544
2011/5/21,27.6,3185
2011/5/22,29.6,2927
2011/5/23,18.3,3387
2011/5/24,18.1,3332
2011/5/25,23.8,3362
2011/5/26,22.3,3407
2011/5/27,20.6,3409
2011/5/28,19.7,3061
2011/5/29,19.1,2848
2011/5/30,21.7,3349
2011/5/31,18.7,3252
2011/6/1,18.5,3267
2011/6/2,17.4,3427
2011/6/3,24,3372
2011/6/4,26.3,3055
2011/6/5,25.7,2848
2011/6/6,28.6,3556
2011/6/7,24,3510
2011/6/8,22.7,3407
2011/6/9,25.6,3486
2011/6/10,24.9,3554
2011/6/11,25.1,3174
2011/6/12,26.2,2868
2011/6/13,23.5,3478
2011/6/14,24.6,3476
2011/6/15,23.5,3395
2011/6/16,23.7,3466
2011/6/17,21,3420
2011/6/18,22.2,3117
2011/6/19,24.5,2865
2011/6/20,26.5,3628
2011/6/21,29.8,3798
2011/6/22,31.9,4086
2011/6/23,32.2,4170
2011/6/24,32.7,4380
2011/6/25,27.9,3453
2011/6/26,22.7,2966
2011/6/27,23.8,3573
2011/6/28,31.9,4271
2011/6/29,35.1,4571
